SL,title,company,location,salary,summary
211,Sr. Software Engineer,"Operating Company ACTIVISION PUBLISHING, INC","Sherman Oaks, CA",,"Design and implement new APIs for accessing the platform infrastructure.
Work with stakeholders to collect data and perform analytics."
212,Backend Release Manager,Tinder,"West Hollywood, CA 90069",,"Plan, build, manage, maintain, and continuously improve our backend infrastructure and tooling for Continuous Integration."
213,Software Engineer with Physical Science Background,Karagozian & Case,"Glendale, CA 91203 (City Center area)",,"SOFTWARE ENGINEER WITH PHYSICAL SCIENCE BACKGROUND.
Sciences and strong mathematics skills (linear algebra and multivariate calculus).
VTK is also a plus."
214,Software Automation Engineer,SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"SpaceX is hiring a software engineer embedded in the guidance navigation and control (GNC) team.
GNC performs trajectory design and vehicle simulation and…"
215,Research Software Engineer,RAND Corporation,"Los Angeles, CA",,The RAND Corporation seeks an experienced Software Engineer with focus on supporting our multidisciplinary software development activities.
216,Senior Software Engineer,Laserfiche,"Long Beach, CA 90807 (Los Cerritos Area area)",,"Delivering on that promise of flexible, easy-to-use, enterprise-scale, secure content management and business process automation software comes with a plethora…"
217,Software Development Manager,The Aerospace Corporation,"El Segundo, CA 90245",,"Members of this group provide design and implementation support to a wide range of customers including internal Aerospace customers, national stakeholders, and…"
218,Sr. Image Processing/Software Engineer,Samsung Semiconductor,"Pasadena, CA 91101 (West Central area)",,"In addition, the company supports Samsung Display Company, the largest producer of LCD and OLED displays.
Prototype camera systems may include RGB, 3D and/or…"
219,Sr Analytics/Software Engineer,Medtronic,"Northridge, CA 91325",,"The position involves research and development of medical devices related to continuous glucose monitors.
Additionally, the candidate will be involved in the…"
220,Staff Software Engineer,Northrop Grumman,"Manhattan Beach, CA",,"Designs, develops, documents, tests and debugs applications software and systems that contain logical and mathematical solutions."
221,Sr. Firmware Engineer,AMP - Auto Motive Power,"Paramount, CA",,"Utilize necessary tools such as Oscilloscopes, multimeters, protocol analyzers to bring up and debug hardware.
Develop best practices for firmware development."
222,Service Oriented Architecture Middleware Engineer,Jet Propulsion Laboratory,"La Cañada Flintridge, CA 91011",,"The DEA team is seeking an experienced Senior SOA Engineer.
This will be an opportunity to apply your technical, communication and leadership skills and partner…"
223,Software System Test Engineer,Envista Holdings,"Brea, CA",,Spark™ Clear Aligner System is designed to meet the needs of the orthodontist with the TruGEN™ material and 3D Approver software.
224,SENIOR SOFTWARE ENGINEER / EMBEDDED SYSTEMS,FlightWave Aerospace Systems,"Santa Monica, CA",,"In this role you will be responsible for developing and maintaining software for flight and ground control systems, including control systems and specifically…"
225,Site Reliability Engineer,Fox Corporation,"Los Angeles, CA 90036 (Mid City area)",,"We are looking for a Site Reliability Engineer to shape the entire lifecycle of multi-disciplinary FOX technology initiatives, working closely with Video,…"
226,Microsoft Azure Application Developer – Senior Consultant,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,We help our clients see the transformational capabilities of Cloud as an opportunity for business enablement and competitive advantage.
227,Senior Software Engineer (Corporate Ops) - Temporary,SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"The role will entail business support including strategic projects fueled by automation, data modeling, and system improvements."
228,Sr. Software Engineer in Network Automation,PacketFabric,"Culver City, CA 90232 (Blair Hills area)",,"We need some specialty software engineering help to make business operations flow smoothly.
Write API’s and tools to manage and maintain the network overall."
229,"Machine Learning Engineer (App Store), Apple Media Products...",Apple,"Culver City, CA",,This role will involve working with Internet-scale data from the App Store advertisement ecosystem and building/implementing products to drive business and…
230,Digital FPGA Design Engineer,Escape Communications,"Torrance, CA 90505",,"Escape Communications designs, produces and sells complex wireless communications products.
And systems into the telecommunications and SATCOM equipment…"
231,Senior Software Engineer,UCLA Health,"Los Angeles, CA",,The newly formed Cancer Data Sciences group at the UCLA David Geffen School of Medicine and UCLA Jonsson Comprehensive Cancer Center is seeking a Senior…
232,Bioinformatics Software Engineer,Fulgent Genetics,"Temple City, CA 91780",,"Mentor junior developers in best coding practices and general career development.
The Bioinformatics Software Engineer will be responsible for the development,…"
233,AWS Cloud Senior Developer - CDI,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Promote public cloud internally to sales and delivery teams to drive growth.
Educate customers of all sizes on the value proposition of Public Cloud and…"
234,Software Engineer,LinQuest Corporation,"El Segundo, CA",,Promote our DevOps best practices by collaborating with developers/managers during various phases of development.
235,Principal Software Engineer,NortonLifeLock,"Culver City, CA",,"With little or no supervision, completes analysis for partially defined tasks, completed major portions of complex functional specs/design documents, or entire…"
236,Senior Principal Embedded Software Engineer,Northrop Grumman,"Woodland Hills, CA",,"Our Engineering and Sciences (E&S) organization pushes the boundaries of innovation, redefines engineering capabilities, and drives advances in various sciences…"
237,FPGA/Embedded Software Engineer,The Aerospace Corporation,"El Segundo, CA 90245",,"Working knowledge of programming languages C, C++ and/or python targeted for embedded systems.
XLab is responsible for building and operating advanced…"
238,Principal Graphics Engineer,Operating Company TREYARCH CORPORATION,"Santa Monica, CA",,"Be part of the Core Engine / Graphics Team leadership working on Treyarch’s state-of-the-art game engine and tools.
Work well in a team environment."
239,Senior Gameplay Engineer,Operating Company TREYARCH CORPORATION,"Santa Monica, CA",,"Implement, debug and optimize major systems in C/C++ and other languages in the context of a large cross platform codebase."
240,Automation & Controls Engineer,SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"NET, python and/or SQL experience.
We are looking for an Automation & Controls Engineer to help design, build, and implement automated manufacturing and test…"
241,Test Software Engineer (Starlink),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"SpaceX is developing a low latency, broadband internet system to meet the needs of consumers across the globe.
Available to work extended hours as needed."
242,"Senior Software Engineer, Analytics",Dine Brands,"Glendale, CA",,"We are looking for a Senior Engineer to define and develop new data management, business intelligence and analytics capabilities that provide the business with…"
243,Principal Software Engineer - TS/SCI Clearance,Northrop Grumman,"Redondo Beach, CA 90278",,"The software engineer will develop and maintain software to automate testing of RF, Power, Digital, or Mixed Signal devices that range from chips to subsystems."
244,Platform Engineer,DISQO,"Glendale, CA",,"We utilize cutting-edge technology and innovative, out-of-the-box strategies to collect and analyze insights which help shape the products and services of…"
245,Site Reliability Engineer,SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"SpaceX is looking for an experienced Site Reliability Engineer to operate and scale custom-built mission-critical products for engineering, test, and launch."
246,Principal Software Engineer,Verizon Media,"Los Angeles, CA",,"We will need you to mentor and develop more junior talent and help build a strong team.
Developing the core components of a suite of video services that interop…"
247,Lead Software Engineer,NuORDER,"Los Angeles, CA",,"In this role, you will be working cross functionally with the product and engineering teams on a wide variety of projects that power NuORDER’s unique platform."
248,Software Engineer - Ad Tech,Clicktripz,"Manhattan Beach, CA",,"As a software engineer on the ad tech team, you will leverage your skillset to develop algorithms and deploy production grade, scalable, ad tech systems."
249,"Sr. Software Development Manager, Development Productivity",Intuit,"Woodland Hills, CA 91365",,Define the team strategy and roadmap for the adoption of developer tools and test infrastructure for one or more products.
250,Lead Senior Web and Graphics Software Developer,The Aerospace Corporation,"El Segundo, CA 90245",,The Visualization and Immersive Technologies Department (VITD) develops a wide variety of visualization applications using commercial UI frameworks and game…
251,DevOps Engineer,NEOGOV,"Los Angeles, CA",,"We are looking for a DevOps Engineer to work in a dynamic environment running on Windows and Linux platforms.
Responsible for managing, monitoring and deploying…"
252,Senior Security Software Engineer,Zynga,"Los Angeles, CA",,"This team is responsible for designing, building and testing security components at a software and product level, as well as participating in the development of…"
253,DevOps Engineer,"J. Paul Getty Trust, The","Los Angeles, CA 90049 (Brentwood area)",,"As a DevOps Engineer, you will provide technical expertise in deploying applications to the Cloud and to internal systems."
254,Principal Machine Learning Engineer,Headspace,"Santa Monica, CA 90404 (Pico District area)",,"As a member of the Machine Learning team you will be responsible for architecting, planning and executing the team’s roadmap."
255,Cloud Engineer,USC,"Los Angeles, CA",,"Supports the configuration and operation of ITS cloud infrastructure to meet the needs of a broad range of campus customers by collaborating with developers,…"
256,DevOps Engineer II,City National Bank,"Los Angeles, CA",,"The DevOps Engineer must have rich and diverse technical background, is creative (intellectually curious), and passionate about automation / DevOps, strong…"
257,Cloud Enterprise DevOps Engineer,Streamlyne,"Los Angeles, CA",,"Implement enterprise solutions based on OpenShift by Red Hat, integrating with Red Hat Enterprise Linux and Infrastructure-as-a-Service (IaaS) technologies…"
258,SENIOR SOFTWARE ENGINEER / USER INTERFACES,FlightWave Aerospace Systems,"Santa Monica, CA",,"In this role you will be responsible for designing, developing, and maintaining user interface software, including touchscreen interfaces and multiple operating…"
259,Senior Software Engineer,NuORDER,"Los Angeles, CA",,"In this role, you will be working cross functionally with the product and engineering teams on a wide variety of projects that power NuORDER’s unique platform."
260,Embedded Software Engineer / Principal Embedded Software Eng...,Northrop Grumman,"Woodland Hills, CA",,"Our Engineering and Sciences (E&S) organization pushes the boundaries of innovation, redefines engineering capabilities, and drives advances in various sciences…"
261,Software Engineer - Camera Capture Systems (C/C++ and Rust ),Second Spectrum,"Los Angeles, CA",,"We deliver unique and innovative solutions through unparalleled capabilities in machine understanding of sports.
Programming languages: C/C++ and Rust."
262,"Principal Backend Engineer (LA, NYC, or Remote US)",Albert,"Los Angeles, CA 91401 (Sherman Oaks area)",,"Albert is a new type of financial service that uses powerful technology to automate your finances, with a team of human experts to guide you."
263,"Principal Engineer, Software",LegalZoom,"Glendale, CA",,Expert experience working with a source control tool (GIT) with strong understanding of how to automate developer workflows.
264,Senior Software Engineer (Network/Embedded) #103,Silvus Technologies,"Los Angeles, CA",,"Along with its successful MANET product line, the company also delivers on ground breaking research in the area of wireless data communications."
265,"Sr. Software Engineer, R&D",Emcore,"Alhambra, CA 91803",,"EMCORE Corporation is seeking for a Software Engineer to focus on data analysis as well as manufacturing automation software.
Fluent in Python, REACT, Java."
266,"Senior Software Engineer, Additive",Relativity Space,"Long Beach, CA",,"Relativity is looking for a talented software engineer to join the multi-faceted Additive Manufacturing team comprised of software, automation and computer…"
267,Senior Backend Software Engineer,Dave,"Los Angeles, CA 90019 (Mid City area)",,"Design, build, and maintain the backend code to support features used by our 5 million users.
Regularly participate in code reviews and other team functions."
268,Senior DevOps Engineer,Cigna,"Santa Monica, CA 90401",,"You will work independently in close partnership with cross-functional teams and management.
1-2 years of Production Kubernetes."
269,Embedded / FPGA Cyber Engineer,The Aerospace Corporation,"El Segundo, CA 90245",,"Example projects might include integration of NSA crypto modules to cubesat platforms, security analysis and recommendations for government programs, and cyber…"
270,Software Development Engineer - Amazon Prime Video,Amazon.com Services LLC,"Santa Monica, CA",,"2+ years of non-internship professional software development experience.
Programming experience with at least one modern language such as Java, C++, or C#…"
271,Full Stack Security DevOps,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Inspire people to take individual responsibility in all areas of security.
Collaborate with other engineers and DevOps in security code reviews to identify and…"
272,DevOps Specialist Senior,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Design, implement, and manage DevOps capabilities in cloud offerings using CI/CD toolsets and automation.
Ensure DevOps systems we build are robust in the sense…"
273,Jr Full Stack Software Engineer,Warner Bros. Entertainment Group,"Burbank, CA",,Work with internal and external developers to ensure WM Technology code standards and best practices are performed for development of applications.
274,Senior Software Engineer,"Eyenuk, Inc.","Los Angeles, CA 91367",,"Thrives on freedom with great responsibility, to develop a deep understanding of the domain.
Uses skills, experience and knowledge to build amazing software,…"
275,Senior Software Engineer (Embedded Linux Software),SpaceX,"Los Angeles, CA",,"As a flight software engineer on the Embedded Linux Software team, you will be designing, developing, and testing software that is used to launch and operate…"
276,Sr. Software Development Quality Engineer,Abbott Laboratories,"Sylmar, CA",,"The Senior Software Design Quality Engineer is responsible for Software Quality relative to the design and development of company products, software reliability…"
277,"Principal Engineer / Team Lead - Motion Planning, Prediction",Motional,"Santa Monica, CA",,Work closely with Motional's Machine Learning team behind ground breaking advancements in the autonomous vehicle industry including nuScenes (https://www…
278,"Engineer, DevOps",LegalZoom,"Glendale, CA",,"Create and maintain build automation scripts using PowerShell, Python, and other scripting languages.
Create and maintain software builds on multiple platforms."
279,DevOps Engineer,BYTE ORBIT,"Century City, CA",,You will also require a 3-year degree/diploma in the technology field and an AWS DevOps Professional Certification.
280,Senior Backend Engineer,GOAT,"Los Angeles, CA",,We are looking for an experienced Senior Engineer to help design and implement new features across multiple backend applications.
281,"Senior DevOps Engineer, Studio Infrastructure Operations",Netflix,"Los Angeles, CA",,"Work with Animation and VFX teams to develop and provide support for core studio related integrations, applications and services, and identify inefficiencies…"
282,Full Stack Software Engineer,TeleSign,"Marina del Rey, CA",,"As a Full stack UI Engineer, you will be responsible for the design and development of front-end applications that meet the needs of the user as well as backend…"
283,Sr. Software Engineer - Pipeline,Walt Disney Animation Studios,"Burbank, CA",,"The developer filling this role should welcome being assigned to a variety of projects, depending on studio needs.
RPC frameworks (gRPC, REST, SOAP)."
284,"Software Engineer, Backend",Aspiration Partners,"Los Angeles, CA",,"We’re looking for experienced backend engineers to speed our development of high performance, secure financial services technology."
285,"Sr. Software Engineer, DevOps - Opportunity for Working Remo...",AirWatch Engineering,"Los Angeles, CA",,"It is available as a cloud service and for on-premises deployment.
The team is responsible for creating control plane platform for Workspace ONE product suite…"
286,"Lead Software Engineering, Full Stack",KPMG,"Los Angeles, CA 90071 (Downtown area)",,"Experience managing team of developers with People Management and Performance review responsibilities.
Responsible for delivery of technical solutions, mentor…"
287,Sr Principal Software Engineer - MWS,Northrop Grumman,"Manhattan Beach, CA",,"The Measurement Workstation (MWS) position is a combination of software development and technical leadership.
Proven SW programming skills (C/C++)."
288,Machine Learning Engineer,PlayQ,"Santa Monica, CA",,PlayQ is looking for a highly motivated and skilled Machine Learning Engineer to help us unlock the full potential of our data science capabilities.
289,Lead Developer (Customer Portals),J2 Cloud Services,"Los Angeles, CA",,"Responsible for training and mentoring developers on the team and recommending actions around hiring, firing and promotions."
290,"Senior Software Engineer (Full Stack/ Developer Tools, Top S...",SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"SENIOR SOFTWARE ENGINEER (FULL STACK / DEVELOPER TOOLS, TOP SECRET CLEARANCE).
Software Delivery Engineering develops the infrastructure which allows engineers…"
291,"Senior Manager, Software Engineering",New Relic,"Los Angeles, CA",,New Relic’s Customer Adoption Platform group (we are responsible for getting new users using New Relic) is looking for an experienced manager to lead a recently…
292,Software Engineer: Infrastructure Lead,Cover Technologies,"Gardena, CA",,"As our first infrastructure hire on a small software team, you'll have full ownership of our SRE, cloud infrastructure, CI/CD, and tooling - Create tools to…"
293,"DreamWorks Technology - Sr. Software Engineer, Core Producti...",NBCUniversal,"Glendale, CA",,"Write developer documentation for REST api consumers.
CorPS services are integrated with pipeline tools, proprietary and third-party artist-facing applications,…"
294,Senior Full Stack Engineer,Ericsson,"Los Angeles, CA",,"Design and develop backend microservices of a distributed telecommunications product.
Work with our Frontend team on creation of smooth and aesthetically…"
295,Kubernetes Engineer,"Tecolote Research, Inc.","El Segundo, CA",,"Promote our DevOps best practices by collaborating with developers/managers during various phases of development.
100% Company funded Retirement Plans."
296,Site Reliability Engineer,Viant,"Los Angeles, CA",,"Enhance, modify or debug developer code as needed.
Among our responsibilities are engineering large and scalable systems, evaluating and integrating third-party…"
297,Senior Software Test Engineer - Mobile,Medtronic,"Northridge, CA 91325",,"We’re looking for software developers who solve problems efficiently, pragmatically and continually seek information from all sources."
298,Software Engineering Senior Advisor,Cigna,"Santa Monica, CA 90401",,"This team is responsible for the design and implementation of Cigna’s digital analytics products.
The role will closely collaborate with the system analysts and…"
299,Automation Engineer (Welding),Relativity Space,"Long Beach, CA",,"Relativity is looking for an Automation/Weld Engineer to join the multifaceted Additive Manufacturing team comprised of software, automation and computer vision…"
300,"Senior Software Engineer 2, Full-Stack Mobile - Digital Inno...",Providence Health & Services,"Anaheim, CA 92805",,"Mentor senior developers through code and design reviews.
Our various teams gather market data on effective solutions in the healthcare space and then proceed…"
301,Site Reliability Engineer,SFOX,"Los Angeles, CA",,"In this role, you will build and maintain a real-time trading infrastructure alongside the backend and frontend engineers.
Masters degree is a plus."
302,Senior Full Stack Engineer,AuditBoard,"El Segundo, CA",,"In this role, you will face a huge array of challenges - from building scalable systems to supporting new product features.
Implement back-end APIs in Node.JS."
303,"Member of Technical Staff - 3 Los Angeles, CA",VMware,"Los Angeles, CA",,"Passion for innovation from platform & infrastructure solutions; passion for delighting developer, IT admin & end-user experience."
304,Senior Software Engineer,TeleSign,"Los Angeles, CA",,"The Senior Software Engineer will analyze, design, develop and implement a suite of APIs which are used by millions of consumers on a daily basis."
305,Senior Full Stack Software Engineer,Dave,"Los Angeles, CA 90019 (Mid City area)",,"Full stack web/mobile application development in Javascript and Typescript.
Work closely with our PM and design teams to define feature specifications and build…"
306,Data Systems Software Application Developer (TS/SCI),"Earth Resources Technology, Inc","Pasadena, CA",,"8 years of experience as a software developer.
Implementation of automated deployment pipelines, software applications and tools."
307,"Dragon Controller, Spacecraft Test Automation Engineer",SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Human spaceflight is inherently risky.
SpaceX develops rigorous test campaigns to exercise all flight systems for our Dragon spacecraft in order to maximize…"
308,Software Engineer (Clearance Required),Northrop Grumman,"Azusa, CA 91702",,"Northrop Grumman Space Systems Sector is seeking experienced Software Engineers level 2 to join our diverse team, developing, enhancing and maintaining…"
309,"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Mentor and assist with training junior developers.
Experience mentoring and/or training junior developers.
Evaluate client business challenges and work with the…"
310,Senior Software Engineer (Software Test),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Join the team that writes code to ensure correctness and performance of the flight software systems that control our Falcon 9 rocket, Dragon spacecraft,…"
311,Senior DevOps Engineer,Zest AI,"Burbank, CA",,"From building software delivery pipelines to working with developers to ensure best systems engineering practices, our DevOps team is responsible for the uptime…"
312,Senior Lead Software Engineer - ClubLabs,Club Labs,"Los Angeles, CA",,"We are the team responsible for building intuitive customer experiences across the organizations insurance, membership, financial, emergency roadside, and…"
313,"DevOps Member of Technical Staff Los Angeles, CA",NSBU,"Los Angeles, CA",,We are looking for a person who is passionate about designing efficient infrastructure for building & testing enterprise scale software.
314,Senior DevOps Engineer,"Bluebeam, Inc.","Pasadena, CA",,"This role is a full-time, onsite position based in Pasadena.
Develop automation frameworks (Infrastructure as code, CI/CD pipelines) and tooling that will be…"
315,Lead Tools Programmer,Sony Interactive Entertainment PlayStation,"Playa Vista, CA",,"Build, refine, and support Maya plugins and data pipeline to facilitate content iteration.
Maintain open dialogues with customers, inviting feedback, looking…"
316,Software Engineer in Test (Top Secret Clearance),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Software Engineer in Test (Top Secret Cleared).
Join the team that writes code to ensure correctness and performance of the flight software systems that control…"
317,Apigee API Engineer,Accenture,"Los Angeles, CA",,The GCP Apigee API Developer role is responsible for the implementation of cloud native APIs built on Google Cloud Platform’s (GCP) Apigee EDGE API management…
318,Principal / Senior Principal Software Safety Engineer,Northrop Grumman,"Woodland Hills, CA",,"Our Engineering and Sciences (E&S) organization pushes the boundaries of innovation, redefines engineering capabilities, and drives advances in various sciences…"
319,Senior Platform Engineer,Dave,"Los Angeles, CA 90019 (Mid City area)",,"Design, build, and maintain the core infrastructure used by the Dave engineering team.
Backend development in Javascript and Typescript."
320,Senior Front End Engineer,System1,"Venice, CA",,"Our design life-cycle is consistently driven by quantitative data analysis in order to measure and maximize user impact.
The Role You Will Have."
321,Staff Software Engineer - Measurement Workstation Lead (TS a...,Northrop Grumman,"Manhattan Beach, CA",,"The Measurement Workstation (MWS) Lead position is a combination of software development and technical/management leadership.
Working knowledge of Unix/Linux."
322,Senior IT Technologist - Diabetes Cloud DevOps Solutions,Medtronic,"Northridge, CA 91325",,"Then turn around and communicate to the developers in their lingo for execution.
Think Detailed: Take big, broad programs and effectively decompose into…"
323,DevOps Engineer,Warner Bros. Entertainment Group,"Burbank, CA",,"Experience with 2 or more scripting languages such as python, ruby or javascript.
Work with internal and external developers to ensure WM Technology code…"
324,Platform Engineering Director,Nexstar Broadcasting,"Los Angeles, CA",,"Reporting up to the head of platform engineering, the right candidate will work closely with other senior stakeholders including Product, Revenue, Program…"
325,Senior Backend Engineer,ChowNow,"Los Angeles, CA (Playa Vista area)",,"The RESTful APIs we develop enable multiple client-facing platforms, ranging from our website products built with React & Redux to our native mobile…"
326,Principle Software Engineer (Backend),Motional,"Santa Monica, CA",,"We provide essential tools and frameworks to support the entire lifecycle of machine learning, from data processing, large scale training and evaluation…"
327,Google Cloud Engineer,Accenture,"Los Angeles, CA",,"They grow into delivery-focused roles, and can progress within their current role, laterally or upward.
Designing, build, and lead the development of cloud…"
328,"Security Response Engineer Los Angeles, CA",VMware Engineering,"Los Angeles, CA",,"Write proof of concepts for developers while investigating the issue reported.
You can communicate clearly and are just as comfortable writing and speaking in…"
329,Embedded Hardware Engineer (Starlink),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"As an embedded hardware development engineer on the Starlink team, you will be responsible for the design, implementation and verification of test equipment and…"
330,Lead Automation Engineer,Relativity Space,"Long Beach, CA",,"Relativity is looking for a Lead Automation Engineer to join our multifaceted Additive Manufacturing team comprised of Software, Automation and Computer Vision…"
331,Principal AWS Software Engineer - Location Negotiable,Accenture,"El Segundo, CA 90245",,"Accenture Security helps organizations prepare, protect, detect, respond and recover along all points of the security lifecycle."
332,Senior Mobile Engineer,Nexstar Broadcasting,"Los Angeles, CA",,"The ideal candidate will be a highly motivated, passionate mobile app developer with experience in a multi-site, ad-driven, content-rich environment."
333,Lead Modeling and Simulations Engineer (Top Secret Clearance...,SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Build and lead a multi-disciplinary team of mission designers and algorithm developers, collaborating with the software engineering team."
334,DreamWorks Technology - Sr. Site Reliability Engineer,NBCUniversal,"Glendale, CA",,"Leverage Kubernetes operators, Tekton and Spinnaker pipelines to automate the deployment and administration of applications across multiple environments on-prem…"
335,Sr. Software Development Engineer - Prime Video,Amazon.com Services LLC,"Santa Monica, CA",,"4+ years of professional software development experience.
3+ years of programming experience with at least one modern language such as Java, C++, or C#…"
336,Solutions / Software Engineer,Fulgent Genetics,"Temple City, CA 91780",,"Exceptional ability with java, scala, python, R, scripts.
Full-time. Must be ready to learn genetics, bioinformatics, workflow, and system design."
337,Cloud DevOps Software Engineer (Video) - CBS All Access / Pa...,CBS Interactive,"Burbank, CA 91506",,"JOB TYPE: Full-Time Staff.
Follow CBS Interactive on Twitter and Facebook.
The candidate will also be responsible for doing minimal video quality check,…"
338,Sr. DevOps Engineer,"Operating Company ACTIVISION PUBLISHING, INC","Sherman Oaks, CA",,This team supports a variety of cloud and on-premises workloads and you will be instrumental in setting standards on key technologies.
339,"Senior Software Engineer - Web Platform Services, Backend",Beyond Limits,"Glendale, CA",,This position entails the development of potentially large-scale web and mobile software systems interfacing with cutting-edge A.I.
340,PROJECT ENGINEER,The Aerospace Corporation,"El Segundo, CA 90245",,The Strategic Assessments & Studies (SAS) Division of the Civil Systems Group (CSG) is responsible for conducting independent assessments and strategic studies…
341,AS Unix DevOps Engineer,Astor & Sanders Corp,"Pasadena, CA 91106",,"Bash, python, and ruby scripting skills.
Develop new python code to deposit and extract test platform results into a postgreSQL database."
342,"Senior Validation Engineer, Electrical",Bird Rides Inc.,"Santa Monica, CA",,"And we’re only just getting started.
As a validation engineer, you’ll work with design engineering, quality, and service to participate in design reviews,…"
343,Software Engineering Manager,Beyond Limits,"Glendale, CA",,"The ideal candidate will have a record of progressive technical experience, a demonstrated progression of management scope, sharp coding skills, and a passion…"
344,Puppet / Linux Engineer,The Aerospace Corporation,"El Segundo, CA 90245",,"The ideal candidate is familiar with the design , implementation and best practices for managing a large number of enterprise Linux systems using Puppet /SIMP…"
345,Avionics Systems Engineer (Operations & Automation),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"As an Operations Systems Engineer in Satellite Avionics, you will have a unique opportunity to characterize and develop the systems required to fly a new…"
346,DevOps Engineer,TeleSign,"Los Angeles, CA",,We are looking to hire a DevOps Engineer who will support the Linux infrastructure within TeleSign Operations as we build a highly virtualized and distributed…
347,Test Automation Engineer (Starlink),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Develop modular, reusable test and automation code in python and similar languages for manufacturing and engineering design verification."
348,Senior Software Engineer (Test Infrastructure),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Software Delivery Engineering develops the infrastructure which allows engineers across the company to develop, test, and ship highly robust software to the…"
349,Site Reliability Engineer,CCC Information Services Inc.,"Cerritos, CA",,"In this position, you will work alongside DevOps, software developers, database administrators, network engineers, systems engineers and information security,…"
350,DevOps Engineer,Vubiquity,"Burbank, CA",,"VUBIQUITY, part of the Amdocs Media division of Amdocs, connects content owners and video distributors to deliver media to viewers on any screen."
351,Site Reliability Engineer,Accenture,"Los Angeles, CA",,Collaborating with developers to promote the concept of reliability engineering during all phases of the SDLC to detect and correct performance issues earlier…
352,"Senior Software Engineer, Security Automation & Operations",Fox Corporation,"Los Angeles, CA 90036 (Mid City area)",,"Work with other developers on the InfoSec team on a variety of security automation projects (e.g. code analysis, vulnerability triaging, etc.)."
353,Senior Software Engineer - Artificial Intelligence Group,Jet Propulsion Laboratory,"La Cañada Flintridge, CA 91011",,"The Artificial Intelligence Group works on fundamental research problems leading to unique software applications in spacecraft autonomy, scientific data…"
354,"Senior DevSecOps Software Engineer, #4944",LinQuest Corporation,"El Segundo, CA",,"As a Senior DevSecOps Software Engineer, you will advise the Government program manager and oversee multiple software development contractors using your…"
355,Senior Platform Architect (ITS),USC,"Los Angeles, CA",,"USC offers the flexibility through well-being programs to help individuals lead productive and balanced lives.
Identify operational opportunities and gaps."
356,Senior Site Reliability Engineer,"TrueCar, Inc.","Santa Monica, CA",,"Participate in on-call rotation with other engineers and developers.
2+ years of experience as a software developer with an MVC web framework such as Rails or…"
357,"Principal DevOps Engineer (LA, NYC, or Remote US)",Albert,"Los Angeles, CA 91401 (Sherman Oaks area)",,"Albert is a new type of financial service that uses powerful technology to automate your finances, with a team of human experts to guide you."
358,"Principal Engineer, Web",LegalZoom,"Glendale, CA",,"Accelerate the development process by suggesting and implementing improvements to the developer pipeline.
Expert experience working with a source control tool …"
359,"Senior Engineer - Cloud, DevOps and Security",Slalom Consulting,"Los Angeles, CA",,"You’ll build across AWS, GCP, and Azure using a wide variety of tools across the DevOps landscape.
Develop and implement complex automation tasks and cloud…"
360,Senior Cybersecurity Assurance Engineer,Jet Propulsion Laboratory,"La Cañada Flintridge, CA 91011",,"You will assess and lead efforts to improve mission cybersecurity infrastructure: the plans, processes, systems, and tools that support existing cybersecurity…"
361,Vehicle Automation Software Engineer,SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"This means eliminating recurring engineering tasks, intelligently designing missions based off of minimal inputs (i.e. where are we going and what hardware do…"
362,Cloud DevOps and Automation Engineer,UCLA Health,"Los Angeles, CA",,You will work closely with clients and OHIA team members to understand the stakeholder requirements that drive the analysis and design of quality infrastructure…
363,Back End Senior Software Engineer,Intuit,"Woodland Hills, CA 91365",,"BS/MS in Computer Science or related area or equivalent experience.
5+ years of experience developing systems/software for large business environments (Java…"
364,Senior Site Reliability Engineer,DRINKS,"Los Angeles, CA 90025 (West Los Angeles area)",,"DRINKS’ data-driven wine sourcing engine delivers exceptional unit economics for WaaS partners, with private label packaging designs informed by machine…"
365,AWS Cloud Specialist Master,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Promote public cloud internally to sales and delivery teams to drive growth.
Educate customers of all sizes on the value proposition of Public Cloud and…"
