,name,cat_in,street,business_city,address_locality,address_region,telephone
181,532 Realty Company,"Offices of Real Estate Agents and Brokers in Chelsea, New York",532 W 25th St,"Chelsea
New York,
            NY",New York,NY,(212) 645-0256
182,Cogent Realty Advisors Inc,"Offices of Real Estate Agents and Brokers in Financial District, New York",5 Broadway,"Financial District
New York,
            NY",New York,NY,(212) 509-4049
183,Pine Management Inc.,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",160 W 84th St,"Upper West Side
New York,
            NY",New York,NY,(917) 441-7561
184,2147 Second Ave llc,"Offices of Real Estate Agents and Brokers in East Harlem, New York",2147 2nd Ave,"East Harlem
New York,
            NY",New York,NY,(212) 348-3028
185,Ace Usa,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",425 5th Ave,"Murray Hill
New York,
            NY",New York,NY,(212) 685-5275
186,Mogull Realty,"Offices of Real Estate Agents and Brokers in North Sutton Area, New York",303 E 57th St Apt 10d,"North Sutton Area
New York,
            NY",New York,NY,(212) 286-5500
187,34th St Commercial Prop,"Offices of Real Estate Agents and Brokers in Gramercy, New York",45 E 34th St FL 2,"Gramercy
New York,
            NY",New York,NY,(212) 868-1178
188,Florencia Properties Alarm,"Offices of Real Estate Agents and Brokers in Garment District, New York",252 W 38th St,"Garment District
New York,
            NY",New York,NY,(646) 215-8002
189,Drummond & Hill Inc,"Offices of Real Estate Agents and Brokers in Midtown, New York",430 W 51st St,"Midtown
New York,
            NY",New York,NY,(212) 757-4500
190,Solow Realty Development Company,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",1113 York Ave,"Upper East Side
New York,
            NY",New York,NY,(212) 355-2561
191,Warbrook Realty Lp,"Offices of Real Estate Agents and Brokers in Harlem, New York",2554 Adam Clayton Powell Jr Blvd,"Harlem
New York,
            NY",New York,NY,(212) 234-0603
192,Red Brick Properties,"Offices of Real Estate Agents and Brokers in West Village, New York",327 W 4th St,"West Village
New York,
            NY",New York,NY,(212) 727-7202
193,Monarch Realty,"Offices of Real Estate Agents and Brokers in Hamilton Heights, New York",4 Saint Nicholas Ter,"Hamilton Heights
New York,
            NY",New York,NY,(212) 663-1382
194,Banyan Realty Corp,"Real Property Lessors, Nec in Midtown, New York",228 E 56th St,"Midtown
New York,
            NY",New York,NY,(212) 935-4270
195,Boston Properties,"Offices of Real Estate Agents and Brokers in Financial District, New York",90 Church St Ste 700,"Financial District
New York,
            NY",New York,NY,(212) 240-9141
196,O & R Realty Inc,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",301 W 107th St,"Upper West Side
New York,
            NY",New York,NY,(212) 865-0456
197,Sherwood Equities Inc,"Offices of Real Estate Agents and Brokers in Midtown, New York",745 5th Ave Ste 1707,"Midtown
New York,
            NY",New York,NY,(212) 980-8001
198,Soori High Line,"Offices of Real Estate Agents and Brokers in Chelsea, New York",522 W 29th St Ste 3a,"Chelsea
New York,
            NY",New York,NY,(646) 609-6180
199,145 Hudson Street Condominium,"Offices of Real Estate Agents and Brokers in Tribeca, New York",145 Hudson St Ste 301,"Tribeca
New York,
            NY",New York,NY,(212) 925-2914
200,One Christopher Realty,"Offices of Real Estate Agents and Brokers in Greenwich Village, New York",1 Christopher St,"Greenwich Village
New York,
            NY",New York,NY,(212) 242-8033
201,City Stop Realty,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",107 W 69th St,"Upper West Side
New York,
            NY",New York,NY,(212) 724-7777
202,Palisades Construction,"Offices of Real Estate Agents and Brokers in Garment District, New York",241 W 37th St,"Garment District
New York,
            NY",New York,NY,(212) 704-4332
203,Edward S Gordon Company Inc Rl Est - Buildings,"Offices of Real Estate Agents and Brokers in Chelsea, New York",441 Lex Ave,"Chelsea
New York,
            NY",New York,NY,(212) 682-3929
204,Kew Management,"Offices of Real Estate Agents and Brokers in Chelsea, New York",11 W 25th St,"Chelsea
New York,
            NY",New York,NY,(212) 691-0596
205,Metropolitan Sutton Asso llc,"Offices of Real Estate Agents and Brokers in North Sutton Area, New York",330 E 56th St,"North Sutton Area
New York,
            NY",New York,NY,(212) 755-2257
206,Wall St Realty Capital,"Offices of Real Estate Agents and Brokers in Midtown, New York",555 5th Ave FL 14,"Midtown
New York,
            NY",New York,NY,(212) 732-3350
207,Apartments R Us,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",331 E 92nd St,"Upper East Side
New York,
            NY",New York,NY,(212) 502-0307
208,The Link,"Offices of Real Estate Agents and Brokers in Midtown, New York",260 W 54th St,"Midtown
New York,
            NY",New York,NY,(212) 582-5465
209,Mildred llc,"Offices of Real Estate Agents and Brokers in East Village, New York",619 E 5th St,"East Village
New York,
            NY",New York,NY,(212) 466-4650
210,First New Amsterdam Corp,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",110 E 42nd St Rm 1406,"Murray Hill
New York,
            NY",New York,NY,(212) 697-6940
211,Masters Coverage Corporation,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",275 Madison Ave Ste 2010,"Murray Hill
New York,
            NY",New York,NY,(212) 697-2485
212,Gotham Properties Inc,"Real Property Lessors, Nec in Chelsea, New York",120 W 21st St,"Chelsea
New York,
            NY",New York,NY,(212) 691-1979
213,Brack Capital Real Estate Corp,"Offices of Real Estate Agents and Brokers in Financial District, New York",90 West St,"Financial District
New York,
            NY",New York,NY,(212) 587-9090
214,Sl Green Realty Corp,"Offices of Real Estate Agents and Brokers in Midtown, New York",625 Madison Ave Rm 3f,"Midtown
New York,
            NY",New York,NY,(212) 644-1307
215,Pine Management Inc.,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",946 Columbus Ave,"Upper West Side
New York,
            NY",New York,NY,(212) 665-1821
216,Cfa Management,"Offices of Real Estate Agents and Brokers in Greenwich Village, New York",7 Great Jones St,"Greenwich Village
New York,
            NY",New York,NY,(212) 674-0590
217,Furumoto Realty Inc,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",271 Madison Ave Ste 1408,"Murray Hill
New York,
            NY",New York,NY,(212) 758-8118
218,Landmark Realty Nyc llc,"Offices of Real Estate Agents and Brokers in Gramercy, New York",23 E 21st St,"Gramercy
New York,
            NY",New York,NY,(212) 234-3700
219,East River North Associates,"Offices of Real Estate Agents and Brokers in East Harlem, New York",426 E 118th St Apt 1e,"East Harlem
New York,
            NY",New York,NY,(212) 427-3130
220,St Tropez Bldg,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",336 E 64th St,"Upper East Side
New York,
            NY",New York,NY,(212) 751-6345
221,Jenson Hughes New York,"Offices of Real Estate Agents and Brokers in Garment District, New York",21 Penn Plz,"Garment District
New York,
            NY",New York,NY,(212) 216-9122
222,Kassin Sabbagh Realty,"Offices of Real Estate Agents and Brokers in Garment District, New York",1385 Broadway FL 22,"Garment District
New York,
            NY",New York,NY,(212) 417-9217
223,Kue Mee Realty Corp,"Offices of Real Estate Agents and Brokers in Chinatown, New York",36 Pell St,"Chinatown
New York,
            NY",New York,NY,(212) 608-9072
224,Sierra Real Estate llc,"Offices of Real Estate Agents and Brokers in Garment District, New York",875 Avenue of the Americas,"Garment District
New York,
            NY",New York,NY,(212) 244-2103
225,17 John St Associates llc,"Offices of Real Estate Agents and Brokers in Financial District, New York",17 John St,"Financial District
New York,
            NY",New York,NY,(212) 706-2688
226,One Sherman Sq Assocs,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",201 W 70th St,"Upper West Side
New York,
            NY",New York,NY,(212) 787-0223
227,Joseph A Aquino Commercial Real Estate Services llc,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",200 E 66th St Apt A1107,"Upper East Side
New York,
            NY",New York,NY,(646) 912-9716
228,Lemle J & Son's - Rl Est,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",315 E 84th St,"Upper East Side
New York,
            NY",New York,NY,(212) 472-2266
229,1333 Broadway Associates,"Offices of Real Estate Agents and Brokers in Garment District, New York",1359 Broadway,"Garment District
New York,
            NY",New York,NY,(212) 967-5143
230,55 Orchard Street llc,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",55 Orchard St,"Lower East Side
New York,
            NY",New York,NY,(212) 226-5335
231,Realogy Corporation Corcoran Group Chelsea - Chelsea,"Offices of Real Estate Agents and Brokers in Chelsea, New York",218 W 18th St FL 6,"Chelsea
New York,
            NY",New York,NY,(646) 459-1188
232,Savills Studley,"Offices of Real Estate Agents and Brokers in Chelsea, New York",399 Park Avfloor 11,"Chelsea
New York,
            NY",New York,NY,(212) 546-9340
233,Aj Clarke Real Estate Cor,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",310 W 72nd St,"Upper West Side
New York,
            NY",New York,NY,(212) 496-2340
234,Mason Real Estate,"Offices of Real Estate Agents and Brokers in Chelsea, New York",210 W 18th St,"Chelsea
New York,
            NY",New York,NY,(212) 206-1257
235,First Pioneer Properties,"Offices of Real Estate Agents and Brokers in Midtown, New York",120 E 56th St Rm 930,"Midtown
New York,
            NY",New York,NY,(212) 239-9638
236,First Metro Realty llc,"Offices of Real Estate Agents and Brokers in Little Italy, New York",240 Mulberry St Apt 15,"Little Italy
New York,
            NY",New York,NY,(646) 476-3006
237,Highgate Security & Locksmith,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",182 E 95th St,"Upper East Side
New York,
            NY",New York,NY,(212) 860-5411
238,Bellmarc Reality,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",1178 Lexington Ave,"Upper East Side
New York,
            NY",New York,NY,(646) 590-4005
239,Heller Realty,"Offices of Real Estate Agents and Brokers in Greenwich Village, New York",60 E 12th St,"Greenwich Village
New York,
            NY",New York,NY,(212) 888-9322
240,Blair House Associates,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",250 E 63rd St Apt 511,"Upper East Side
New York,
            NY",New York,NY,(212) 371-1794
241,Lend Lease,"Offices of Real Estate Agents and Brokers in Gramercy, New York",550 1st Ave Frnt,"Gramercy
New York,
            NY",New York,NY,(212) 481-1536
242,Ventilaire Realty Corp,"Offices of Real Estate Agents and Brokers in Tribeca, New York",1 Mercer St,"Tribeca
New York,
            NY",New York,NY,(212) 226-0575
243,Chetrit Organization,"Offices of Real Estate Agents and Brokers in Garment District, New York",1384 Broadway,"Garment District
New York,
            NY",New York,NY,(212) 302-1781
244,351 E To St Apts Inc,"Offices of Real Estate Agents and Brokers in Midtown, New York",351 E 50th St,"Midtown
New York,
            NY",New York,NY,(212) 758-1980
245,Manhattan Realty llc,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",213 E 66th St,"Upper East Side
New York,
            NY",New York,NY,(212) 288-1959
246,Addison Hall Owners Corp,"Offices of Real Estate Agents and Brokers in Midtown, New York",457 W 57th St,"Midtown
New York,
            NY",New York,NY,(646) 891-0140
247,William Gottlieb Mgmt CO llc,"Offices of Real Estate Agents and Brokers in West Village, New York",615 Hudson St Apt 1,"West Village
New York,
            NY",New York,NY,(646) 336-5210
248,Casa Management,"Offices of Real Estate Agents and Brokers in Financial District, New York",46 Trinity Pl Frnt 2,"Financial District
New York,
            NY",New York,NY,(212) 825-0930
249,Richman Housing Resources llc,"Offices of Real Estate Agents and Brokers in Garment District, New York",1010 Avenue of the Americas Rm 301,"Garment District
New York,
            NY",New York,NY,(212) 938-0499
250,James Bryant Homes Inc,"Offices of Real Estate Agents and Brokers in Harlem, New York",2027 Madison Ave,"Harlem
New York,
            NY",New York,NY,(212) 996-5700
251,Aion Realty llc,"Offices of Real Estate Agents and Brokers in Midtown, New York",11 E 44th St FL 1000,"Midtown
New York,
            NY",New York,NY,(212) 849-9200
252,Warren International Inc,"Offices of Real Estate Agents and Brokers in Midtown, New York",320 Park Ave,"Midtown
New York,
            NY",New York,NY,(212) 752-4118
253,Adar 2000,"Real Estate Agents and Managers in Clinton, New York",343 W 46th St,"Clinton
New York,
            NY",New York,NY,(212) 213-4485
254,42nd and 10th Associates Related Mngment Company,"Real Estate Agents and Managers in Clinton, New York",440 W 42nd St,"Clinton
New York,
            NY",New York,NY,(212) 244-2150
255,Phipps Houses Services Inc,"Offices of Real Estate Agents and Brokers in Gramercy, New York",520 2nd Ave,"Gramercy
New York,
            NY",New York,NY,(212) 679-9344
256,Pine Management Inc.,"Real Estate Agents and Managers in Upper West Side, New York",66 W 106th St,"Upper West Side
New York,
            NY",New York,NY,(212) 662-8218
257,Pine Management Inc.,"Real Estate Agents and Managers in Upper West Side, New York",141 W 80th St,"Upper West Side
New York,
            NY",New York,NY,(917) 441-2260
258,Newmark & Company Real Estate Inc,"Offices of Real Estate Agents and Brokers in Financial District, New York",10 Broadway,"Financial District
New York,
            NY",New York,NY,(646) 826-5660
259,C C Apartment Mgmt,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",265 Cherry St,"Lower East Side
New York,
            NY",New York,NY,(212) 227-6939
260,Manhattan Realty llc,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",225 E 66th St,"Upper East Side
New York,
            NY",New York,NY,(212) 288-2857
261,Cushman & Wakefield - Rl Est,"Offices of Real Estate Agents and Brokers in Midtown, New York",2 United Nations Plz,"Midtown
New York,
            NY",New York,NY,(212) 486-9447
262,Andover Realty,"Offices of Real Estate Agents and Brokers in Chelsea, New York",62 W 459th,"Chelsea
New York,
            NY",New York,NY,(212) 335-2222
263,Cpr Extell,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",423 W 69th St,"Upper West Side
New York,
            NY",New York,NY,(212) 874-1340
264,Brookfield Financial Properties,"Offices of Real Estate Agents and Brokers in Financial District, New York",1 Liberty Plz FL Conc1,"Financial District
New York,
            NY",New York,NY,(212) 417-7000
265,132 East 61 Realty llc,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",132 E 61st St,"Upper East Side
New York,
            NY",New York,NY,(212) 758-1484
266,Red Sparrow Realty Group llc,"Offices of Real Estate Agents and Brokers in Garment District, New York",249 W 34th St Rm 600,"Garment District
New York,
            NY",New York,NY,(212) 239-0800
267,First Metro Realty llc,"Offices of Real Estate Agents and Brokers in Little Italy, New York",196 Elizabeth St Apt 5,"Little Italy
New York,
            NY",New York,NY,(212) 933-1629
268,Empire State Realty Trust,"Offices of Real Estate Agents and Brokers in Garment District, New York",112 W 34th St FL 12,"Garment District
New York,
            NY",New York,NY,(917) 351-1581
269,Emmut Properties Corp,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",165 E 89th St Apt A,"Upper East Side
New York,
            NY",New York,NY,(212) 289-0099
270,Urban Home Ownership Corp,"Offices of Real Estate Agents and Brokers in Harlem, New York",105 W 127th St,"Harlem
New York,
            NY",New York,NY,(212) 665-0331
271,370 Manhattan Av Realty llc,"Offices of Real Estate Agents and Brokers in Harlem, New York",370 Manhattan Ave,"Harlem
New York,
            NY",New York,NY,(212) 222-3796
272,Eugene Grant & CO,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",145 E 74th St,"Upper East Side
New York,
            NY",New York,NY,(212) 744-4904
273,Freda Green & Associates Inc,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",500a E 87th St,"Upper East Side
New York,
            NY",New York,NY,(212) 753-7950
274,Rifkin Noah M Cpa,"Offices of Real Estate Agents and Brokers in Midtown, New York",477 Madison Ave,"Midtown
New York,
            NY",New York,NY,(212) 572-5588
275,Stanton Wells & Stone llc,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",10 E 39th St,"Murray Hill
New York,
            NY",New York,NY,(212) 213-3411
276,Eckstein Properties,"Offices of Real Estate Agents and Brokers in Financial District, New York",60 Broad St Ste 3503,"Financial District
New York,
            NY",New York,NY,(212) 668-0101
277,322 West 57th Owner llc,"Offices of Real Estate Agents and Brokers in Midtown, New York",322 W 57th St,"Midtown
New York,
            NY",New York,NY,(212) 245-2930
278,Tower 37 llc,"Offices of Real Estate Agents and Brokers in Clinton, New York",350 W 37th St,"Clinton
New York,
            NY",New York,NY,(212) 564-1777
279,Madison Properties Realty,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",675 Madison Ave,"Upper East Side
New York,
            NY",New York,NY,(212) 750-5393
280,Feathered Nest,"Real Estate Agents and Managers in Upper East Side, New York",770 Lexington Ave FL 10,"Upper East Side
New York,
            NY",New York,NY,(212) 317-7800
281,1255 Company,"Offices of Real Estate Agents and Brokers in Garment District, New York",1255 Broadway,"Garment District
New York,
            NY",New York,NY,(212) 686-3695
282,Jeffries Morris Inc,"Offices of Real Estate Agents and Brokers in Financial District, New York",29 Broadway Rm 1700,"Financial District
New York,
            NY",New York,NY,(212) 425-2950
283,Tamares Real Estate Holdings Inc,"Offices of Real Estate Agents and Brokers in Midtown, New York",1500 Broadway Ste 2501,"Midtown
New York,
            NY",New York,NY,(212) 302-9444
284,Rxr Realty,"Offices of Real Estate Agents and Brokers in Midtown, New York",342 Madison Ave,"Midtown
New York,
            NY",New York,NY,(212) 599-0080
285,Orient Overseas Assoc,"Offices of Real Estate Agents and Brokers in Financial District, New York",88 Pine St Ste 2002,"Financial District
New York,
            NY",New York,NY,(212) 952-1343
286,Glenhaven Partners,"Offices of Real Estate Agents and Brokers in Garment District, New York",1040 Avenue of the Americas,"Garment District
New York,
            NY",New York,NY,(212) 398-9614
287,United Realty Associates,"Offices of Real Estate Agents and Brokers in Garment District, New York",1412 Broadway FL 22,"Garment District
New York,
            NY",New York,NY,(212) 944-7449
288,Royal Realty Corp,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",201 E 42nd St Bsmt 1,"Murray Hill
New York,
            NY",New York,NY,(212) 922-1356
289,Housing Authority,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",175 Eldridge St,"Lower East Side
New York,
            NY",New York,NY,(212) 254-0187
290,90 Broad Owner llc,"Offices of Real Estate Agents and Brokers in Financial District, New York",90 Broad St,"Financial District
New York,
            NY",New York,NY,(212) 742-2083
291,520 Pejane Realty,"Offices of Real Estate Agents and Brokers in East Village, New York",518 E 6th St,"East Village
New York,
            NY",New York,NY,(212) 420-9624
292,Tnv Partners,"Offices of Real Estate Agents and Brokers in Soho, New York",561 Broadway Apt 9b,"Soho
New York,
            NY",New York,NY,(212) 219-8977
293,Dearborn Capital,"Offices of Real Estate Agents and Brokers in Clinton, New York",617 11th Ave,"Clinton
New York,
            NY",New York,NY,(212) 315-9090
294,Urban Development Partners,"Offices of Real Estate Agents and Brokers in Midtown, New York",1776 Broadway Ste 606,"Midtown
New York,
            NY",New York,NY,(212) 767-0960
295,Cedar Management,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",181 E Broadway,"Lower East Side
New York,
            NY",New York,NY,(212) 346-9851
296,Building Link Com llc,"Offices of Real Estate Agents and Brokers in Gramercy, New York",85 5th Ave FL 3,"Gramercy
New York,
            NY",New York,NY,(212) 256-1051
297,Kroll Inc,"Real Property Lessors, Nec in Murray Hill, New York",600 3rd Ave FL 4,"Murray Hill
New York,
            NY",New York,NY,(212) 297-9390
298,NY Real Estate llc,"Offices of Real Estate Agents and Brokers in Financial District, New York",140 West St,"Financial District
New York,
            NY",New York,NY,(212) 374-9700
299,Devon Properties Inc,"Offices of Real Estate Agents and Brokers in Garment District, New York",1 Penn Plz Ste 4015,"Garment District
New York,
            NY",New York,NY,(212) 971-9270
300,New York City Corporate Housing,"Offices of Real Estate Agents and Brokers in Gramercy, New York",85 5th Ave,"Gramercy
New York,
            NY",New York,NY,(212) 924-6666
301,Senter Sublet,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",420 E 80th St,"Upper East Side
New York,
            NY",New York,NY,(212) 988-0444
302,Barton Management llc,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",221 E 37th St,"Murray Hill
New York,
            NY",New York,NY,(212) 682-9693
303,Ansonia Realty llc,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",2109 Broadway,"Upper West Side
New York,
            NY",New York,NY,(212) 877-9800
304,Battery Park Green Line,"Offices of Real Estate Agents and Brokers in Battery Park, New York",70 Little West St Lbby 1,"Battery Park
New York,
            NY",New York,NY,(212) 406-1000
305,G & G Broadway Terrace,"Offices of Real Estate Agents and Brokers in Greenwich Village, New York",853 Broadway Ste 1122,"Greenwich Village
New York,
            NY",New York,NY,(212) 539-9990
306,Royal Realty Corp,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",655 3rd Ave Ste 2515,"Murray Hill
New York,
            NY",New York,NY,(212) 697-0666
307,Soho Aoa Owner llc,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",193 Manhattan Ave,"Upper West Side
New York,
            NY",New York,NY,(212) 663-7646
308,Rose Associates,"Offices of Real Estate Agents and Brokers in Financial District, New York",21 West St,"Financial District
New York,
            NY",New York,NY,(212) 600-1588
309,5 Crosby St Inc,"Offices of Real Estate Agents and Brokers in Soho, New York",22 Howard St Ste 2a,"Soho
New York,
            NY",New York,NY,(212) 219-3291
310,895 Broadway llc,"Offices of Real Estate Agents and Brokers in Gramercy, New York",895 Broadway,"Gramercy
New York,
            NY",New York,NY,(212) 260-3101
311,Vornado Office Management,"Offices of Real Estate Agents and Brokers in Midtown, New York",1290 Avenue of the Americas Ste 3400,"Midtown
New York,
            NY",New York,NY,(212) 586-0620
312,Koll,"Offices of Real Estate Agents and Brokers in Financial District, New York",2 Rector St,"Financial District
New York,
            NY",New York,NY,(212) 571-4784
313,London Managmnt Corp,"Offices of Real Estate Agents and Brokers in Midtown, New York",340 E 51st St,"Midtown
New York,
            NY",New York,NY,(212) 753-6110
314,Sereno Partners llc,"Offices of Real Estate Agents and Brokers in Clinton, New York",452 W 36th St,"Clinton
New York,
            NY",New York,NY,(212) 695-7019
315,Assnco Reality Corp,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",19 Clinton St,"Lower East Side
New York,
            NY",New York,NY,(212) 217-6117
316,Aragona Group,"Offices of Real Estate Agents and Brokers in Midtown, New York",250 W 57th St Ste 1931,"Midtown
New York,
            NY",New York,NY,(212) 245-7100
317,T-Rex Technology Center llc,"Offices of Real Estate Agents and Brokers in Midtown, New York",747 3rd Ave Rm 400,"Midtown
New York,
            NY",New York,NY,(212) 486-1222
318,East River Partners llc,"Offices of Real Estate Agents and Brokers in Gramercy, New York",915 Broadway Ste 1001,"Gramercy
New York,
            NY",New York,NY,(212) 769-8965
319,Hang Wu Realty,"Offices of Real Estate Agents and Brokers in East Harlem, New York",222 E 111th St,"East Harlem
New York,
            NY",New York,NY,(212) 410-6129
320,Cushman & Wakefield,"Real Estate Agents and Managers in Financial District, New York",125 Broad St Lbby 4,"Financial District
New York,
            NY",New York,NY,(212) 248-6960
321,Weiner Realty,"Offices of Real Estate Agents and Brokers in Hamilton Heights, New York",610 Riverside Dr,"Hamilton Heights
New York,
            NY",New York,NY,(212) 234-0723
322,Redac,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",111 E 38th St,"Murray Hill
New York,
            NY",New York,NY,(646) 755-8559
323,10 E 68 Realty Corp,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",10 E 68th St,"Upper East Side
New York,
            NY",New York,NY,(212) 717-2791
324,Royal Realty,"Real Estate Consultants & Research Services in Midtown, New York",1133 Avenue of the Americas,"Midtown
New York,
            NY",New York,NY,(646) 366-7999
325,Colavito William Inc,"Offices of Real Estate Agents and Brokers in Chelsea, New York",352 7th Ave Rm 211,"Chelsea
New York,
            NY",New York,NY,(212) 688-1414
326,150 E 49 St Owners Inc,"Offices of Real Estate Agents and Brokers in Midtown, New York",150 E 49th St,"Midtown
New York,
            NY",New York,NY,(212) 644-8901
327,Kamber Management,"Real Estate Management in Garment District, New York",18 W 33rd St,"Garment District
New York,
            NY",New York,NY,(212) 244-2072
328,Real Estate Mortgage,"Offices of Real Estate Agents and Brokers in Gramercy, New York",152 Madison Ave Rm 1501,"Gramercy
New York,
            NY",New York,NY,(212) 481-7707
329,Citi Urban Management Corp,"Real Estate Agents and Managers in Lower East Side, New York",152 Ludlow St,"Lower East Side
New York,
            NY",New York,NY,(212) 228-6402
330,Eleven-Seventy 5 Av Corp,"Offices of Real Estate Agents and Brokers in Yorkville, New York",1170 5th Ave,"Yorkville
New York,
            NY",New York,NY,(212) 289-7947
331,Jasper Venture Group,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",275 Madison Ave FL 30,"Murray Hill
New York,
            NY",New York,NY,(212) 663-3322
332,Project 140 llc,"Offices of Real Estate Agents and Brokers in Chelsea, New York",150 W 30th St,"Chelsea
New York,
            NY",New York,NY,(212) 239-0570
333,Measurisk Com,"Offices of Real Estate Agents and Brokers in Midtown, New York",331 Madison Ave,"Midtown
New York,
            NY",New York,NY,(212) 599-6490
334,233 W 83 St Elevator,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",233 W 83rd St,"Upper West Side
New York,
            NY",New York,NY,(212) 595-4022
335,Charles H Greenthal & CO,"Offices of Real Estate Agents and Brokers in Gramercy, New York",4 Park Ave FL 3,"Gramercy
New York,
            NY",New York,NY,(212) 340-9300
336,211 W 61 St Assoc,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",211 W 61st St,"Upper West Side
New York,
            NY",New York,NY,(212) 247-4453
337,Sierra Realty,"Offices of Real Estate Agents and Brokers in Midtown, New York",12 E 46th St FL 6e,"Midtown
New York,
            NY",New York,NY,(212) 490-1002
338,Glenwood Renting Ofc,"Real Estate Types of Property Apartments & Residential in Upper East Side, New York",1440 York Ave,"Upper East Side
New York,
            NY",New York,NY,(212) 535-0500
339,Douglas Elliman Real Estate,"Offices of Real Estate Agents and Brokers in West Village, New York",690 Washington St,"West Village
New York,
            NY",New York,NY,(212) 352-3400
340,Chapin Group East Inc,"Offices of Real Estate Agents and Brokers in Chelsea, New York",163 W 23rd St FL 3,"Chelsea
New York,
            NY",New York,NY,(212) 751-1001
341,Bluerock Real Estate,"Offices of Real Estate Agents and Brokers in Midtown, New York",712 5th Ave Ste 903,"Midtown
New York,
            NY",New York,NY,(212) 247-6537
342,Brown Harris Stevens Inc,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",23 E 74th St,"Upper East Side
New York,
            NY",New York,NY,(212) 288-7500
343,K W Realty,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",348 E 62nd St,"Upper East Side
New York,
            NY",New York,NY,(212) 355-4034
344,Foundation 126th St Realty llc,"Offices of Real Estate Agents and Brokers in Harlem, New York",104 E 126th St Apt B2,"Harlem
New York,
            NY",New York,NY,(212) 427-2316
345,Rudin Management CO Inc,"Offices of Real Estate Agents and Brokers in North Sutton Area, New York",260 Lex Ave,"North Sutton Area
New York,
            NY",New York,NY,(212) 980-1515
346,Veritas Studios Inc,"Offices of Real Estate Agents and Brokers in Clinton, New York",527 W 45th St,"Clinton
New York,
            NY",New York,NY,(212) 581-2050
347,Boni Facio Cora Texidor,"Offices of Real Estate Agents and Brokers in East Harlem, New York",7 E 116th St,"East Harlem
New York,
            NY",New York,NY,(212) 860-0304
348,Twining Properties,"Offices of Real Estate Agents and Brokers in Midtown, New York",535 5th Ave FL 18,"Midtown
New York,
            NY",New York,NY,(212) 704-4002
349,West 125 Realty Corp,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",1220 Lexington Ave,"Upper East Side
New York,
            NY",New York,NY,(212) 717-6680
350,12 W 32 Tenants Corp,"Offices of Real Estate Agents and Brokers in Garment District, New York",12 W 32nd St,"Garment District
New York,
            NY",New York,NY,(212) 268-6499
351,Fisher Brothers Management,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",605 3rd Ave FL 21,"Murray Hill
New York,
            NY",New York,NY,(212) 867-5575
352,Rodney Corporations,"Offices of Real Estate Agents and Brokers in Midtown, New York",555 Madison Ave,"Midtown
New York,
            NY",New York,NY,(212) 230-4840
353,125 W 56 St Owners Corp,"Offices of Real Estate Agents and Brokers in Midtown, New York",125 W 56th St,"Midtown
New York,
            NY",New York,NY,(212) 757-5026
